R	Toxicological problems. None	Jaffe, Judith.
R	Principles and practice of psychopharmacotherapy / None	Janicak, Philip G.
R	Vermont hospital utilization, 1984. None	Marumoto, Claire M.
R	Neoplasms of the stomach None	McNeer, Gordon.
R	The hot diet : the real reason you're gaining weight-- and how to lose it fast and forever /	Djo, AJ,
R	Careers of care : survivors of traumatic brain injury and the response of health and social care /	Higham, P. E.,
R	Inner city health in America / None	Hall, Ellen.
R	Cirrhosis of the liver mortality in Pennsylvania None	Tokuhata, George Kazunari,
R	The Asthmatic child in play and sport / None	Prisching, Manfred.
R	The halogenated aliphatic, olefinic, cyclic, aromatic, and aliphatic-aromatic hydrocarbons, including the halogenated insecticides; their toxicity and potential dangers.	Von Oettingen, W. F.
R	Binary data analysis of randomized clinical trials with noncompliance / None	Lui, Kung-Jong,
R	The Challenge of ethics in pharmacy practice : symposium /	Masuda, Modoki.
R	The use of psychodrama in health education. None	Mann, Hannah.
R	Study outline for paramedical personnel on lower extremity braces, component parts, shoes, shoe modifications None	Baines, Ruth E.
R	Cases in healthcare finance / None	Gapenski, Louis C.
R	By-laws of the Medical Society of the City and County of New York, revised and adopted at the anniversary meeting, July 1839. None	Talmage, Samuel K.
R	A casebook of cognitive therapy for traumatic stress reactions / None	Sriram, Chandra Lekha,
R	The pill in new perspective: pregnant or dead?	Williams, Harold,
R	Your yin yang body type : the Korean tradition of sasang medicine /	Wagman, Gary,
R	Goals into gold : strategic planning for health care professionals : with special sections in each chapter for academic practices /	Fabrizio, Nick A.
R	Pharmacognosy of indigenous drugs / None	Krishnan, R.
R	Confessions of a couch potato, or, If I'm so skinny, why do I still feel like flounder? / None	Furst, Stephen,
R	Hypnosis and hypnotherapy : a patientʾs guide /	Karle, Hellmut W. A.
R	Asian perspectives in counselling and psychotherapy / None	Laungani, Pittu.
R	Nuclear receptors in drug metabolism / None	Davis, Jane,
R	Exercise and the heart in health and disease / None	Coates, Peter A.,
R	Surviving with heart : taking charge of your heart care /	Trout, Darrell.
R	Weaning from breast milk to family food : a guide for health and community workers.	Mizuno, Takanori,
R	Aspects on the toxicity of cadmium and its compounds; a review.	Nilsson, Robert,
R	Childhood psychopathology : a developmental approach /	Knopf, Irwin J.
R	Practical techniques in venipuncture / None	Scranton, Pierce E.
R	Abnormalities in parents of schizophrenics : a review of the literature and an investigation of communication defects and deviances /	Hirsch, Steven R.
R	Health and disease in Africa--the community approach; proceedings of the East African Medical Research Council scientific conference, 1970.	Rouhette, Annie.
R	Study of sexually transmitted infections among urban men in Pakistan : identifying the bridging population /	Raḥmān, ʻAbd al-Raḥmān,
R	Hospital security guard training manual / None	Wanat, John A.
R	The problems of species difference and statistics in toxicology; proceedings of the meeting held in Venice, March-April 1969.	Bradley, John,
R	Creating a caring science curriculum : an emancipatory pedagogy for nursing /	Hills, Marcia.
R	Investigating hearing in children / None	Fisch, L.
R	Practical resuscitation : recognition and response / edited by Pam Moule and John W. Albarran.	Kleymann, Birgit.
R	Lippincott's review for NCLEX-PN. None	Timby, Barbara Kuhn.
R	Biosensors : fundamentals and applications /	Rice, Alison.
R	Nutrition for the cancer patient / None	Rosenbaum, Ernest H.
R	Jamu : the ancient Indonesian art of herbal healing /	Beers, Susan-Jane.
R	Research in prevention : fiscal data and highlights, fiscal years, 1983-1986 /	Brewer, David M.
R	Casebook of psychosomatic medicine / None	Bakens, Martien,
R	Uses and actions of 1,25-dihydroxyvitamin D₃ in uremia / None	Kleene, Paul.
R	Surgery for sleep-disordered breathing / None	Hörmann, Karl,
R	Psychodiagnostic testing: an empirical approach based on a follow-up of 2000 cases,	Harrower, Molly,
R	Practical aspects of thyroid disease. None	Crile, George,
R	List of books suitable for a psychiatric library / None	Karlin, Daniel,
R	Gestalt therapy : a guide to contemporary practice /	Brownell, Philip,
R	How should I feed my child? : from pregnancy through preschool /	Pytel, Andrew.
R	Pharmacology, a self-instructional approach / None	Tedford, Alberta A.
R	Sickle cell disease / None	Gold, Susan Dudley.
R	The family roots of adolescent delinquency / None	Perez, Joseph F.
R	Contemporary diagnosis and management of H pylori-associated gastrointestinal diseases / None	Graham-Lomax, Kathleen.
R	7th African Union against Venereal Diseases and Treponematoses (AUVDT) Regional Conference : STD and the community, AIDS and policies : 17-20 March 1991, Lusaka, Zambia.	Ngoma, Patrick Seleta.
R	The teaching of public health in Europe. None	Cottrell, Jack Dinham.
R	Deafness, hearing loss, and the auditory system / None	Hess, Frederick M.
R	Stop smoking, lose weight / None	Solomon, Neil,
R	Chavuma District Health Board : health strategic plan : (2000-2002) : presented to Pan African Institute for Development, East and Southern Africa (PAID-ESA) as a partial fulfil[l]ment for the award of a higher diploma in district health management /	Mukonde, Raymond.
R	Immunodiagnosis of Helminthic Infections; None	Voltaire,
R	Coping when a parent has AIDS / None	Draimin, Barbara Hermie.
R	Starving children : the tyranny of hunger /	Brown, Roy E.
R	The Control of chemotherapy: a symposium held in the Wright-Fleming Institute, St. Mary's Hospital Medical School, London, W. 2, March 1969;	Kark, Wilfred.
R	Modern psychoanalysis : new directions & perspectives /	Payne, Stanley G.
R	Indian music in performance : a practical introduction /	Sorrell, Neil.
R	Transactions of the special Conference of state and territorial health officers with the United States Public Health Service, September 16 and 17, 1940. None	Sokoloff, Boris,
R	JAK-STAT pathway in disease / None	Wright, Wendy M.
R	The vaccination dilemma / Christine Murphy, editor. None	Kallen, Stuart A.,
R	Cancer causing viruses and their inhibitors / None	White, Karen
R	Child behavior therapy : principles, procedures, and empirical basis /	Ross, Alan O.
R	The geography of naturopathic physicians in the United States : a rising profession /	Albert, Donald Patrick.
R	The health project book : a handbook for new researchers in the field of health /	Wood, Neil,
R	Dementia : annotated bibliography of the dementia-associated diseases and diagnostic tests : a professional medical and psychological reference /	Cohn, Jay B.
R	Binge breaker : stop out-of-control eating and lose weight /	Miller, Peter M.
R	Finding your "self" and helping others : the holistic way /	Levy, Henry L.
R	The Good looks book / None	Beningfield, Gordon,
R	The Maillard reaction : consequences for the chemical and life sciences /	George, Jean Craighead,
R	Prevalence of iron deficiency anaemia in preschool children and the effect of vitamin C supplementation : a study carried out in Msoga Village, Coast Region, Tanzania, 1992/1993 /	ʼÉfrém ʼEndāla.
R	Psychiatry in the communist world. None	Kiev, Ari.
R	Outsmarting the mother-daughter food trap : how to free yourself from dieting and pass on a healthier legacy to your daughter /	Waterhouse, Debra.
R	Rauwolfia: botany, pharmacognosy, chemistry & pharmacology None	Whitney, Phyllis A.,
R	Interactions by design : the positive interactions program for persons with Alzheimer's disease and related disorders /	Nissenboim, Sylvia.
R	Skin : an owner's manual : what your skin does for you & what you need to do for it /	Buckman, Rob.
R	Strong women, strong hearts : proven strategies to prevent and reduce heart disease now /	Nelson, Miriam E.
R	The psychosocial background of affective disorders / None	Frost, Mary,
R	Building a hospital : a primer for administrators /	Rea, John,
R	Genital abnormalities, hermaphroditism & related adrenal diseases,	Young, Hugh,
R	An outline of genito-urinary surgery / None	Smith, George Gilbert,
R	Dieters' microwave cookbook : plus 50 delicious low-calorie desserts /	McNamara, Deborrah A.
R	The public health system in England / None	Hunter, David J.
R	Networking for nurses / None	Puetz, Belinda E.
R	Helping your anxious child : a step-by-step guide for parents /	Rapee, Ronald M.
R	Mother's milk : breastfeeding controversies in American culture /	Hausman, Bernice L.
R	Mothercraft in the Tropics. None	Macpherson, Kennie.
R	Children with cleft lip and palate : a parents' guide to early speech-language development and treatment /	Hardin-Jones, Mary A.
R	The Cornea World Congress; papers.	MacEwen, William A.
R	The home encyclopedia of herbal medicine : natural remedies for emerging and drug-resistant infections.	Buhner, Stephen Harrod.
R	Dr. Brennan's diabetes and hypoglycemia handbook / None	Brennan, R. O.
R	Atlas of pediatric echocardiography / None	Gutgesell, Howard P.,
R	Are you listening? : attention deficit disorders : a guide for understanding and managing overactive, attention deficit, and impulsive behaviors in children and adolescents /	Fontenelle, Don H.,
R	Clinical lectures on the gallbladder and bile ducts, None	Weiss, Samuel,
R	Metabolic syndrome and psychiatric illness : interactions, pathophysiology, assessment and treatment /	Mendelson, Scott D.
R	Life issues, medical choices : questions and answers for Catholics /	Smith, Janet E.,
R	Clinical perfusion MRI techniques and applications / None	Tomba, Massimiliano,
R	National health insurance and health resources : the European experience /	Blanpain, Jan.
R	More calculated cooking / None	Jones, Jeanne.
R	Estimating the cost of illness, None	Rice, Dorothy P.
R	Meals in minutes : 150 speedy recipes low in points values /	Conrad, Kathryn J.
R	Dimensions: a changing concept of health	Jones, Kenneth Lamar,
R	Ciba Foundation Symposium: Transcultural Psychiatry; [proceedings]	Mears, Eleanor,
R	The principles and practice of dermatology, designed for students and practitioners,	Pusey, William Allen,
R	Cancer : the evolutionary legacy /	Greaves, M. F.
R	Nursing as a profession, None	Brown, Esther Lucile,
R	God knows you're stressed : simple ways to restore your balance /	Smollin, Anne Bryan.
R	Thirty-five years in the tower / None	Papper, Solomon,
R	Diagnosis and treatment of fetal disorders; proceedings.	Gaubert, Henri,
R	Spring chicken : stay young forever (or die trying) /	Gifford, Bill
R	Ending the neglect : sanitation, a South Asian priority : report of a Regional Meeting on Environmental Sanitation, Kathmandu, 25-26 May 1993.	Dharwadker, Vinay,
R	The Oxford handbook of clinical psychology / None	Karch, Amy Morrison,
R	Fifth Asian Congress of Obstetrics and Gynaecology; [proceedings]	Prasad, Rajendra,
R	Report of the Seminar on Health Information System, December 24-29, 1973. None	Caudhurī, Jyoti.
R	Diagnosis and treatment of impotence. None	Busi, Anna.
R	On the effect of some phenothiazine derivatives, antihistamines and thalidomide on reproduction and morphogenesis in Micrasterias torreyi and M. sol, None	Simola, Liisa Kaarina.
R	Kaplan & Sadock's comprehensive textbook of psychiatry / None	Hart, Elva Treviño,
R	Generations gardening together : sourcebook for intergenerational therapeutic horticulture /	Larson, Jean M.
R	American Academy of Orthopaedic Surgeons Symposium on the Foot and Ankle, Kansas City, Missouri, April 1981 / None	Hahn, Joan,
R	AHCC : Japan's medical breakthrough in natural immunotherapy /	Pescatore, Fred,
R	A devotion to nutrition. None	Hoelzel, Frederick,
R	Report of the Review and Planning Workshop for District Piloting Participatory Approaches / None	Briscoe, Andrew.
R	Gangrene and severe ischemia of the lower extremities / None	Tanner, Tracy.
R	A history of American medicine from the colonial period to the early twentieth century / None	Toledo-Pereyra, Luis H.
R	Georgia, disease patterns of the 70's. None	Bonney, Frances Bradbury,
R	Critical care : a comprehensive approach /	Gilliland, Mary Ellen.
R	Physical management of multiple handicaps : a professional's guide /	Fraser, Beverly A.,
R	Pictures from the history of medicine : [photos. of objects in] the Semmelweis Medical Historical Museum, Budapest /	Antall, József.
R	A matter of life or death; the incredible story of Krebiozen.	Bailey, Herbert.
R	The great billion dollar medical swindle / None	Lasko, Keith Alan.
R	Cerebral infarction; the role of stenosis of the extracranial cerebral arteries	Yates, Peter O.
R	Getting it done : how Obama and Congress finally broke the stalemate to make way for healthcare reform /	Daschle, Thomas.
R	Psychological report writing assistant / None	Groth-Marnat, Gary.
R	Pharmacy in a new age: report of the Commission on Pharmaceutical Services.	Hetzel, Basil S.,
R	SIDS : a parent's guide to understanding and preventing Sudden Infant Death Syndrome /	Sears, William,
R	Head and neck disorders syllabus, None	Meschan, Isadore.
R	A panorama of suicide; a casebook of psychological autopsies,	Niswander, G. Donald.
R	The prevention of malaria in the Federated Malay states; a record of twenty years' progress.	Watson, Malcolm,
R	Selected papers of Ernst Kris / None	Kris, Ernst,
R	Reinventing your life : the breakthrough program to end negative behavior ... and feel great again /	Young, Jeffrey E.,
